code,full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
6947,DIGI.COM BERHAD,"DIGI (6947) [s]
DIGI.COM BERHAD Summary",Telecommunications & Media - Main Market,3.930 - 4.880,220.22,24,19.82,19.6,4.20%,51.89,83.95,6,"36,309.3M",Neutral 53.3,Neutral 61.1
2836,CARLSBERG BREWERY MALAYSIA BERHAD,"CARLSBG (2836)
CARLSBERG BREWERY MALAYSIA BERHAD Summary",Consumer Products & Services - Main Market,17.080 - 27.380,153.64,28,90.65,100,3.92%,43.19,648.36,4,"7,790.5M",Neutral 42.9,Oversold 8.2
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,"BAT (4162)
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD Summary",Consumer Products & Services - Main Market,22.460 - 38.680,111.64,22,165.23,155,4.27%,24.5,988.67,4,"10,353.3M",Neutral 53.7,Neutral 61.9
6399,ASTRO MALAYSIA HOLDINGS BERHAD,"ASTRO (6399)
ASTRO MALAYSIA HOLDINGS BERHAD Summary",Telecommunications & Media - Main Market,1.050 - 2.000,79.14,17,8.88,9,6.08%,13.19,105.08,1,"7,717.2M",Neutral 38.9,Oversold 18.8
5077,MALAYSIAN BULK CARRIERS BERHAD,"MAYBULK (5077)
MALAYSIAN BULK CARRIERS BERHAD Summary",Transportation & Logistics - Main Market,0.410 - 0.805,67.11,2,26.38,0,0.00%,1.42,23.9,2,560.0M,Neutral 45.0,Neutral 25.0
5248,BERMAZ AUTO BERHAD,"BAUTO (5248) [s]
BERMAZ AUTO BERHAD Summary",Consumer Products & Services - Main Market,1.800 - 2.480,47.1,10,22.56,15.75,6.70%,4.91,217.05,1,"2,733.2M",Neutral 54.9,Neutral 31.6
9792,SEG INTERNATIONAL BHD,"SEG (9792) [s]
SEG INTERNATIONAL BHD Summary",Consumer Products & Services - Main Market,0.605 - 0.680,45.47,19,3.33,2.7,4.25%,8.67,19.95,3,803.0M,Neutral 54.0,Overbought 83.3
90,ELSOFT RESEARCH BERHAD,"ELSOFT (0090) [s]
ELSOFT RESEARCH BERHAD Summary",Technology - Main Market,0.945 - 3.530,35.24,16,5.99,4.56,4.73%,5.68,11.74,8,642.6M,Neutral 37.6,Oversold 18.8
3006,,NPS (03006),Health Care - Leap Market,0.200 - 0.310,46.14,10,3.23,0.4,1.29%,4.43,7.76,4,46.2M,Neutral 58.2,Overbought 100.0
5099,AIRASIA GROUP BERHAD,"AIRASIA (5099)
AIRASIA GROUP BERHAD Summary",Consumer Products & Services - Main Market,2.300 - 4.050,32.57,4,60.58,64,26.34%,1.31,317.51,1,"8,121.0M",Oversold 27.0,Oversold 3.8
7231,WELLCALL HOLDINGS BERHAD,"WELLCAL (7231) [s]
WELLCALL HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,1.140 - 1.410,30.18,19,6.67,5.3,4.11%,5.84,35.01,4,642.4M,Neutral 57.5,Overbought 83.3
3948,DUTALAND BERHAD,"DUTALND (3948) [s]
DUTALAND BERHAD Summary",Plantation - Main Market,0.435 - 0.630,30,1,46.2,10,18.87%,0.34,2.76,19,448.4M,Neutral 68.4,Neutral 75.0
5102,GUAN CHONG BERHAD,"GCB (5102)
GUAN CHONG BERHAD Summary",Consumer Products & Services - Main Market,1.390 - 3.880,28.24,9,39.41,4,1.08%,2.64,470.96,1,"1,771.8M",Neutral 54.2,Neutral 64.5
3017,,UNIWALL (03017),Construction - Leap Market,0.180 - 0.360,110,8,4.4,0,0.00%,9,3.46,10,131.7M,Overbought 100.0,Neutral 50.0
1961,IOI CORPORATION BERHAD,"IOICORP (1961) [s]
IOI CORPORATION BERHAD Summary",Plantation - Main Market,4.100 - 4.810,26.64,11,38.89,8,1.79%,3.05,125.22,4,"28,029.3M",Neutral 43.7,Neutral 25.0
1818,BURSA MALAYSIA BERHAD,"BURSA (1818)
BURSA MALAYSIA BERHAD Summary",Financial Services - Main Market,6.720 - 8.200,25.69,25,27.75,33.6,4.93%,6.31,68.11,10,"5,498.9M",Neutral 40.0,Neutral 21.4
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,"AMWAY (6351) [s]
AMWAY (MALAYSIA) HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,5.600 - 8.520,25.12,18,33.16,27.5,4.51%,4.62,591.46,1,"1,002.8M",Neutral 54.0,Neutral 78.3
5139,AEON CREDIT SERVICE (M) BERHAD,"AEONCR (5139)
AEON CREDIT SERVICE (M) BERHAD Summary",Financial Services - Main Market,12.420 - 17.360,23.62,12,139.25,43.56,2.59%,2.86,524.41,3,"4,224.3M",Neutral 50.2,Neutral 63.9
5263,SUNWAY CONSTRUCTION GROUP BERHAD,"SUNCON (5263) [s]
SUNWAY CONSTRUCTION GROUP BERHAD Summary",Construction - Main Market,1.300 - 2.410,24.33,18,11.19,7,3.54%,4.3,174.56,1,"2,559.9M",Neutral 64.1,Neutral 76.9
99,SCICOM (MSC) BERHAD,"SCICOM (0099) [s]
SCICOM (MSC) BERHAD Summary",Industrial Products & Services - Main Market,0.900 - 2.150,23.29,15,6.52,8.5,8.95%,3.39,43.55,2,337.7M,Oversold 23.9,Oversold 3.2
98,BAHVEST RESOURCES BERHAD,"BAHVEST (0098) [s]
BAHVEST RESOURCES BERHAD Summary",Consumer Products & Services - Ace Market,0.325 - 1.420,18.31,6,10.63,0,0.00%,1.07,5.57,11,378.7M,Neutral 46.2,Neutral 46.9
106,REXIT BERHAD,"REXIT (0106)
REXIT BERHAD Summary",Technology - Ace Market,0.525 - 0.750,22.33,18,4.02,3,4.26%,3.92,11.05,6,133.5M,Neutral 62.3,Neutral 35.7
5168,HARTALEGA HOLDINGS BERHAD,"HARTA (5168) [s]
HARTALEGA HOLDINGS BERHAD Summary",Health Care - Main Market,4.520 - 7.450,22.04,33,14.4,8.51,1.80%,7.24,82.57,6,"15,814.8M",Neutral 46.5,Neutral 40.7
8176,ATA IMS BERHAD,"ATAIMS (8176) [s]
ATA IMS BERHAD Summary",Industrial Products & Services - Main Market,1.380 - 1.880,21,19,9.45,0,0.00%,3.89,229.61,1,"2,007.3M",Neutral 52.1,Neutral 75.0
7189,MB WORLD GROUP BERHAD,"MBWORLD (7189) [s]
MB WORLD GROUP BERHAD Summary",Property - Main Market,1.540 - 2.010,20.72,5,32.32,10,6.29%,1.02,182.37,1,250.2M,Neutral 41.8,Oversold 10.0
3301,HONG LEONG INDUSTRIES BERHAD,"HLIND (3301)
HONG LEONG INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,8.420 - 12.300,19.96,11,99.59,47,4.43%,2.12,798.1,1,"3,475.8M",Overbought 78.3,Overbought 87.5
7087,MAGNI-TECH INDUSTRIES BERHAD,"MAGNI (7087) [s]
MAGNI-TECH INDUSTRIES BERHAD Summary",Consumer Products & Services - Main Market,3.880 - 5.520,19.39,7,62.05,23,5.03%,1.43,650.82,1,743.7M,Neutral 47.0,Neutral 35.0
127,JHM CONSOLIDATION BERHAD,"JHM (0127) [s]
JHM CONSOLIDATION BERHAD Summary",Technology - Ace Market,0.805 - 1.450,19.18,20,6.33,1.5,1.17%,3.88,47.51,3,713.7M,Neutral 56.8,Neutral 45.5
8079,LEE SWEE KIAT GROUP BERHAD,"LEESK (8079) [s]
LEE SWEE KIAT GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.620 - 1.090,19.09,15,6.11,2.5,2.79%,2.8,59.61,2,150.2M,Neutral 44.7,Neutral 46.7
5279,SERBA DINAMIK HOLDINGS BERHAD,"SERBADK (5279) [s]
SERBA DINAMIK HOLDINGS BERHAD Summary",Energy - Main Market,3.060 - 4.280,18.47,15,26.41,8,2.01%,2.79,223.57,2,"5,859.3M",Overbought 70.8,Overbought 95.5
7249,EWEIN BERHAD,"EWEIN (7249) [s]
EWEIN BERHAD Summary",Property - Main Market,0.325 - 0.885,18.33,4,13.93,0,0.00%,0.74,67.72,1,170.4M,Neutral 39.2,Oversold 11.1
187,BCM ALLIANCE BERHAD,"BCMALL (0187) [s]
BCM ALLIANCE BERHAD Summary",Industrial Products & Services - Ace Market,0.140 - 0.250,18,10,1.98,0,0.00%,1.73,21.97,1,80.0M,Neutral 39.1,Oversold 0.0
193,KEJURUTERAAN ASASTERA BERHAD,"KAB (0193) [s]
KEJURUTERAAN ASASTERA BERHAD Summary",Industrial Products & Services - Ace Market,0.185 - 0.310,17.93,8,2.69,1,4.76%,1.4,43.47,0,67.2M,Neutral 46.5,Neutral 25.0
83,NOTION VTEC BERHAD,"NOTION (0083) [s]
NOTION VTEC BERHAD Summary",Technology - Main Market,0.515 - 0.790,17.78,3,21.45,1,1.75%,0.47,78.4,1,189.9M,Neutral 44.5,Neutral 25.0
5209,GAS MALAYSIA BERHAD,"GASMSIA (5209) [s]
GAS MALAYSIA BERHAD Summary",Utilities - Main Market,2.680 - 3.010,17.62,20,14.05,13.5,4.79%,3.54,485.46,1,"3,620.9M",Neutral 47.3,Neutral 36.4
7113,TOP GLOVE CORPORATION BHD,"TOPGLOV (7113) [s]
TOP GLOVE CORPORATION BHD Summary",Health Care - Main Market,4.300 - 12.480,17.34,26,16.99,5.93,1.32%,4.57,185.09,2,"11,471.4M",Neutral 40.7,Oversold 7.1
3204,GEORGE KENT (MALAYSIA) BERHAD,"GKENT (3204) [s]
GEORGE KENT (MALAYSIA) BERHAD Summary",Construction - Main Market,0.755 - 4.030,17.09,8,15.08,6.9,5.52%,1.42,76.47,2,704.1M,Neutral 56.2,Neutral 50.0
158,SCC HOLDINGS BERHAD,"SCC (0158)
SCC HOLDINGS BERHAD Summary",Consumer Products & Services - Ace Market,0.470 - 0.560,16.62,11,4.98,3.4,6.42%,1.77,46.87,1,74.8M,Neutral 61.9,Overbought 100.0
5216,DATASONIC GROUP BERHAD,"DSONIC (5216) [s]
DATASONIC GROUP BERHAD Summary",Technology - Main Market,0.295 - 0.990,16.52,16,3.13,2.5,5.00%,2.64,16.85,3,675.0M,Neutral 45.3,Neutral 28.6
3034,HAP SENG CONSOLIDATED BERHAD,"HAPSENG (3034)
HAP SENG CONSOLIDATED BERHAD Summary",Industrial Products & Services - Main Market,9.270 - 10.200,16.32,21,46.01,35,3.55%,3.5,250.9,4,"24,573.2M",Neutral 51.3,Neutral 62.5
9296,RCE CAPITAL BERHAD,"RCECAP (9296)
RCE CAPITAL BERHAD Summary",Financial Services - Main Market,1.210 - 1.720,16.04,6,26.3,8,4.79%,1.02,71.67,2,602.1M,Neutral 58.0,Overbought 87.5
7160,PENTAMASTER CORPORATION BERHAD,"PENTA (7160) [s]
PENTAMASTER CORPORATION BERHAD Summary",Technology - Main Market,1.850 - 4.190,16.03,23,18.04,0,0.00%,3.69,133.36,3,"1,313.8M",Overbought 80.4,Overbought 94.0
8621,LPI CAPITAL BHD,"LPI (8621)
LPI CAPITAL BHD Summary",Financial Services - Main Market,15.560 - 17.500,15.98,19,80,68,4.36%,3.12,382.89,4,"6,214.8M",Oversold 28.9,Oversold 11.1
113,MMS VENTURES BERHAD,"MMSV (0113) [s]
MMS VENTURES BERHAD Summary",Technology - Main Market,0.660 - 1.720,15.71,19,4.4,1.79,2.18%,2.93,23.48,3,167.1M,Neutral 37.9,Oversold 16.0
7090,APEX HEALTHCARE BERHAD,"AHEALTH (7090) [s]
APEX HEALTHCARE BERHAD Summary",Health Care - Main Market,5.500 - 9.830,15.32,18,49.79,13.5,1.51%,2.75,554.69,2,"1,051.9M",Neutral 47.1,Neutral 42.4
37,RGB INTERNATIONAL BHD,"RGB (0037)
RGB INTERNATIONAL BHD Summary",Consumer Products & Services - Main Market,0.180 - 0.305,15.2,9,2.28,0.7,3.26%,1.43,24.62,1,331.2M,Neutral 53.1,Neutral 66.7
5197,FOCUS LUMBER BERHAD,"FLBHD (5197)
FOCUS LUMBER BERHAD Summary",Industrial Products & Services - Main Market,0.990 - 1.870,15.12,6,26.92,14,8.86%,0.89,192.7,1,166.8M,Neutral 47.0,Neutral 60.0
5147,SAMCHEM HOLDINGS BERHAD,"SAMCHEM (5147)
SAMCHEM HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.595 - 1.150,14.81,8,7.85,2,3.28%,1.15,402.65,0,165.9M,Neutral 46.0,Neutral 25.0
9822,SAM ENGINEERING & EQUIPMENT (M) BERHAD,"SAM (9822) [s]
SAM ENGINEERING & EQUIPMENT (M) BERHAD Summary",Industrial Products & Services - Main Market,6.330 - 8.480,14.61,14,56.96,23.36,2.90%,2.07,543.71,1,"1,089.4M",Neutral 59.0,Neutral 69.2
65,EXCEL FORCE MSC BERHAD,"EFORCE (0065) [s]
EXCEL FORCE MSC BERHAD Summary",Technology - Main Market,0.335 - 1.130,14.69,29,1.6,1.5,3.19%,4.32,5.53,9,195.0M,Neutral 47.2,Neutral 28.6
5681,PETRONAS DAGANGAN BHD,"PETDAG (5681) [s]
PETRONAS DAGANGAN BHD Summary",Consumer Products & Services - Main Market,23.000 - 28.480,14.4,29,85.55,70,2.83%,4.17,"3,026.69",1,"24,597.9M",Neutral 38.1,Neutral 38.6
23,IFCA MSC BERHAD,"IFCAMSC (0023) [s]
IFCA MSC BERHAD Summary",Technology - Ace Market,0.185 - 0.490,14.21,20,1.99,0,0.00%,2.89,15.45,3,246.4M,Neutral 48.1,Neutral 26.7
3008,,SLIC (03008),Technology - Leap Market,0.230 - 0.430,28.11,17,2.53,1,2.38%,4.67,24.08,2,54.6M,Overbought 100.0,Neutral 50.0
7248,SLP RESOURCES BERHAD,"SLP (7248)
SLP RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,0.805 - 1.500,13.93,15,7.97,1.5,1.22%,2.15,59.34,2,389.9M,Neutral 50.7,Neutral 70.0
1295,PUBLIC BANK BERHAD,"PBBANK (1295)
PUBLIC BANK BERHAD Summary",Financial Services - Main Market,22.200 - 26.160,13.64,16,144.01,69,3.06%,2.14,567.77,4,"87,658.7M",Oversold 25.9,Neutral 33.9
3042,PETRON MALAYSIA REFINING & MARKETING BHD,"PETRONM (3042) [s]
PETRON MALAYSIA REFINING & MARKETING BHD Summary",Energy - Main Market,6.010 - 9.950,13.45,8,83.16,0,0.00%,1.06,"4,462.14",0,"1,763.1M",Neutral 43.3,Oversold 18.5
5286,MI TECHNOVATION BERHAD,"MI (5286) [s]
MI TECHNOVATION BERHAD Summary",Technology - Main Market,1.390 - 3.370,13.42,25,8.86,5,2.25%,3.36,32.08,7,"1,110.0M",Neutral 52.7,Neutral 76.9
5143,LUXCHEM CORPORATION BERHAD,"LUXCHEM (5143) [s]
LUXCHEM CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.500 - 0.715,13.37,12,4.37,2.21,4.25%,1.59,93.62,1,452.2M,Neutral 41.4,Neutral 25.0
3719,PANASONIC MANUFACTURING MALAYSIA BERHAD,"PANAMY (3719)
PANASONIC MANUFACTURING MALAYSIA BERHAD Summary",Consumer Products & Services - Main Market,34.400 - 41.900,13.17,21,178.52,248,6.58%,2.78,"1,940.78",2,"2,290.1M",Neutral 47.0,Neutral 45.5
7205,COCOALAND HOLDINGS BERHAD,"COCOLND (7205) [s]
COCOALAND HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,1.830 - 2.450,13.12,14,13.51,6,3.13%,1.86,110.9,2,439.3M,Neutral 38.7,Oversold 0.0
5160,HOMERITZ CORPORATION BERHAD,"HOMERIZ (5160) [s]
HOMERITZ CORPORATION BERHAD Summary",Consumer Products & Services - Main Market,0.585 - 0.820,13.08,9,6.54,2.5,4.20%,1.19,52.19,1,178.5M,Neutral 41.9,Neutral 33.3
18,LAMBO GROUP BERHAD,"LAMBO (0018)
LAMBO GROUP BERHAD Summary",Technology - Ace Market,0.115 - 0.170,14.49,16,0.8,0,0.00%,2.26,4.4,3,262.8M,Neutral 30.9,Oversold 14.3
5226,GABUNGAN AQRS BERHAD,"GBGAQRS (5226) [s]
GABUNGAN AQRS BERHAD Summary",Construction - Main Market,0.598 - 1.759,13.76,11,12.85,4.72,3.37%,1.5,117.77,1,692.4M,Neutral 60.9,Neutral 53.3
5703,MUHIBBAH ENGINEERING (M) BHD,"MUHIBAH (5703) [s]
MUHIBBAH ENGINEERING (M) BHD Summary",Construction - Main Market,2.630 - 3.200,12.85,9,29.94,0,0.00%,1.18,324.6,1,"1,334.8M",Oversold 25.5,Oversold 17.4
7579,AWC BERHAD,"AWC (7579) [s]
AWC BERHAD Summary",Industrial Products & Services - Main Market,0.600 - 0.930,12.96,9,8.45,0.96,1.31%,1.13,112.47,1,211.6M,Neutral 33.7,Oversold 20.0
5159,YOONG ONN CORPORATION BERHAD,"YOCB (5159) [s]
YOONG ONN CORPORATION BERHAD Summary",Consumer Products & Services - Main Market,0.950 - 1.310,12.6,7,17.64,4,3.39%,0.84,136.97,1,188.8M,Neutral 55.8,Neutral 66.7
7169,DOMINANT ENTERPRISE BERHAD,"DOMINAN (7169) [s]
DOMINANT ENTERPRISE BERHAD Summary",Industrial Products & Services - Main Market,1.210 - 1.390,12.41,6,20.48,7,5.60%,0.76,443.34,0,206.5M,Neutral 42.7,Neutral 66.7
7167,JOHORE TIN BERHAD,"JOHOTIN (7167) [s]
JOHORE TIN BERHAD Summary",Consumer Products & Services - Main Market,0.835 - 1.520,12.33,11,12.58,5,3.47%,1.41,161.41,1,447.1M,Neutral 57.0,Neutral 63.6
3484,DAMANSARA REALTY BHD,"DBHD (3484) [s]
DAMANSARA REALTY BHD Summary",Property - Main Market,0.220 - 0.565,12.02,7,6.48,0,0.00%,0.83,95.53,0,143.3M,Neutral 40.8,Neutral 25.0
143,KEY ASIC BERHAD,"KEYASIC (0143) [s]
KEY ASIC BERHAD Summary",Technology - Main Market,0.095 - 0.245,11.86,28,0.44,0,0.00%,3.37,3.17,4,118.8M,Neutral 65.7,Neutral 66.7
5100,BP PLASTICS HOLDING BHD,"BPPLAS (5100) [s]
BP PLASTICS HOLDING BHD Summary",Industrial Products & Services - Main Market,0.880 - 1.170,11.7,10,11.23,6,5.61%,1.11,177.84,1,200.8M,Neutral 49.6,Neutral 60.0
5031,TIME DOTCOM BERHAD,"TIMECOM (5031) [s]
TIME DOTCOM BERHAD Summary",Telecommunications & Media - Main Market,7.060 - 9.050,11.45,18,49.46,20.56,2.28%,2.08,168.48,5,"5,253.3M",Neutral 66.2,Overbought 90.9
168,BOILERMECH HOLDINGS BERHAD,"BOILERM (0168) [s]
BOILERMECH HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.500 - 0.775,11.39,12,4.33,1.75,3.24%,1.42,44.7,1,278.6M,Neutral 48.1,Neutral 36.4
3743,SUNSURIA BERHAD,"SUNSURIA (3743) [s]
SUNSURIA BERHAD Summary",Property - Main Market,0.580 - 1.200,11.34,6,11.45,0,0.00%,0.63,58.04,1,507.3M,Neutral 47.8,Oversold 18.8
1163,ALLIANZ MALAYSIA BERHAD,"ALLIANZ (1163)
ALLIANZ MALAYSIA BERHAD Summary",Financial Services - Main Market,10.740 - 14.760,11.21,6,213.29,40,2.99%,0.7,"2,931.49",0,"2,368.7M",Oversold 19.8,Oversold 3.3
5032,BINTULU PORT HOLDINGS BERHAD,"BIPORT (5032) [s]
BINTULU PORT HOLDINGS BERHAD Summary",Transportation & Logistics - Main Market,4.400 - 6.000,11.15,16,30.88,14,2.85%,1.77,149.16,3,"2,258.6M",Neutral 67.7,Overbought 80.0
201,NOVA WELLNESS GROUP BERHAD,"NOVA (0201) [s]
NOVA WELLNESS GROUP BERHAD Summary",Health Care - Ace Market,0.280 - 0.820,11.05,19,2.43,2.3,5.00%,2.09,8.03,6,146.2M,Neutral 42.4,Oversold 12.5
7252,TEO SENG CAPITAL BERHAD,"TEOSENG (7252)
TEO SENG CAPITAL BERHAD Summary",Consumer Products & Services - Main Market,0.735 - 1.370,10.88,11,10.12,3,2.78%,1.16,163.43,1,324.0M,Neutral 30.9,Oversold 10.0
6556,ANN JOO RESOURCES BERHAD,"ANNJOO (6556) [s]
ANN JOO RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.150 - 3.040,10.86,6,26.71,12,7.27%,0.67,414.73,0,923.9M,Neutral 50.2,Neutral 25.8
3867,MALAYSIAN PACIFIC INDUSTRIES BERHAD,"MPI (3867)
MALAYSIAN PACIFIC INDUSTRIES BERHAD Summary",Technology - Main Market,7.570 - 13.200,10.61,14,69.81,29,2.95%,1.49,748.67,1,"2,063.2M",Neutral 48.6,Neutral 62.1
5959,AMVERTON BERHAD,"AMVERTON (5959) [s]
AMVERTON BERHAD Summary",Property - Main Market,0.870 - 1.280,10.55,6,20.67,0,0.00%,0.59,32.64,4,423.5M,Neutral 49.0,Oversold 0.0
5983,MBM RESOURCES BHD,"MBMR (5983) [s]
MBM RESOURCES BHD Summary",Consumer Products & Services - Main Market,1.860 - 3.080,10.48,7,42.35,6,2.00%,0.74,493.29,1,"1,172.7M",Neutral 63.6,Neutral 77.1
5819,HONG LEONG BANK BERHAD,"HLBANK (5819)
HONG LEONG BANK BERHAD Summary",Financial Services - Main Market,17.560 - 21.660,10.45,16,125.03,48,2.41%,1.67,222.52,9,"43,224.3M",Neutral 32.3,Neutral 44.7
5007,CHIN WELL HOLDINGS BERHAD,"CHINWEL (5007) [s]
CHIN WELL HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,1.490 - 2.000,10.4,9,20.08,8.6,4.78%,0.93,211.76,1,539.2M,Neutral 51.4,Neutral 42.9
6068,PCCS GROUP BERHAD,"PCCS (6068) [s]
PCCS GROUP BERHAD Summary",Consumer Products & Services - Main Market,0.185 - 0.565,10.37,7,6.57,1.12,2.46%,0.72,210.37,0,95.6M,Neutral 53.0,Oversold 18.5
7204,D&O GREEN TECHNOLOGIES BERHAD,"D&O (7204) [s]
D&O GREEN TECHNOLOGIES BERHAD Summary",Technology - Main Market,0.590 - 1.000,10.37,20,3.25,1,1.52%,2.11,44.34,1,730.5M,Neutral 34.4,Neutral 25.0
5219,PESTECH INTERNATIONAL BERHAD,"PESTECH (5219) [s]
PESTECH INTERNATIONAL BERHAD Summary",Industrial Products & Services - Main Market,0.950 - 1.770,10.3,15,6.77,0,0.00%,1.55,89.36,1,779.6M,Neutral 33.2,Oversold 16.7
26,NOVA MSC BERHAD,"NOVAMSC (0026) [s]
NOVA MSC BERHAD Summary",Technology - Ace Market,0.085 - 0.205,10.25,15,0.82,0,0.00%,1.5,7.5,2,90.2M,Neutral 43.7,Neutral 25.0
5152,MUAR BAN LEE GROUP BERHAD,"MBL (5152) [s]
MUAR BAN LEE GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.905 - 1.300,10.17,10,12.61,3,2.42%,1,152.93,1,127.7M,Neutral 55.1,Neutral 62.5
191,CABNET HOLDINGS BERHAD,"CABNET (0191) [s]
CABNET HOLDINGS BERHAD Summary",Technology - Ace Market,0.200 - 0.630,11.54,10,2.64,0.7,2.59%,1.18,26.4,1,48.3M,Neutral 45.5,Neutral 33.3
176,KRONOLOGI ASIA BERHAD,"KRONO (0176) [s]
KRONOLOGI ASIA BERHAD Summary",Technology - Ace Market,0.515 - 0.810,10,14,4.1,0,0.00%,1.39,40.89,1,227.3M,Neutral 36.7,Oversold 9.1
7148,DUOPHARMA BIOTECH BERHAD,"DPHARMA (7148) [s]
DUOPHARMA BIOTECH BERHAD Summary",Health Care - Main Market,0.925 - 3.430,9.89,18,7.22,3.19,2.44%,1.79,75.35,2,867.1M,Neutral 61.6,Neutral 41.7
5738,COUNTRY HEIGHTS HOLDINGS BHD,"CHHB (5738)
COUNTRY HEIGHTS HOLDINGS BHD Summary",Property - Main Market,0.867 - 1.600,9.97,5,30.91,0,0.00%,0.49,32.88,5,416.3M,Neutral 48.1,Neutral 33.3
1368,UEM EDGENTA BERHAD,"EDGENTA (1368) [s]
UEM EDGENTA BERHAD Summary",Industrial Products & Services - Main Market,1.860 - 2.950,9.85,15,17.83,14,5.09%,1.52,262.45,1,"2,287.0M",Neutral 41.5,Neutral 21.7
3010,,MYKRIS (03010),Telecomunications & Media - Leap Market,0.200 - 0.340,39,7,4.68,1,2.94%,2.83,6.24,5,102.0M,Overbought 100.0,Overbought 100.0
7229,FAVELLE FAVCO BERHAD,"FAVCO (7229) [s]
FAVELLE FAVCO BERHAD Summary",Industrial Products & Services - Main Market,2.200 - 2.880,9.69,9,28.89,0,0.00%,0.89,239.45,1,587.1M,Neutral 47.7,Neutral 69.2
5116,AL-`AQAR HEALTHCARE REIT,"ALAQAR (5116) [s]
AL-`AQAR HEALTHCARE REIT Summary",Real Estate Investment Trusts - Main Market,1.180 - 1.450,9.64,11,12.42,7.7,5.46%,1.09,13.95,10,"1,037.7M",Neutral 57.2,Neutral 55.6
3107,FIMA CORPORATION BERHAD,"FIMACOR (3107) [s]
FIMA CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,1.750 - 2.010,9.51,9,22.55,12.5,6.51%,0.81,101.65,2,470.9M,Neutral 51.1,Oversold 20.0
5131,ZHULIAN CORPORATION BERHAD,"ZHULIAN (5131) [s]
ZHULIAN CORPORATION BERHAD Summary",Consumer Products & Services - Main Market,1.200 - 1.560,9.44,12,12.13,10,7.04%,1.1,39.03,4,653.2M,Neutral 65.7,Overbought 100.0
8524,TALIWORKS CORPORATION BERHAD,"TALIWRK (8524) [s]
TALIWORKS CORPORATION BERHAD Summary",Utilities - Main Market,0.685 - 1.490,9.39,19,4.92,4.8,5.22%,1.76,18.61,5,"1,854.6M",Neutral 58.5,Neutral 72.7
5106,AXIS REAL ESTATE INVESTMENT TRUST,"AXREIT (5106) [s]
AXIS REAL ESTATE INVESTMENT TRUST Summary",Real Estate Investment Trusts - Main Market,1.350 - 1.840,9.32,14,12.53,8.74,4.86%,1.34,16.52,11,"2,227.1M",Neutral 54.0,Neutral 42.9
5171,KIMLUN CORPORATION BERHAD,"KIMLUN (5171) [s]
KIMLUN CORPORATION BERHAD Summary",Construction - Main Market,1.000 - 2.180,9.2,7,18.42,5.5,4.26%,0.64,304.91,0,428.1M,Neutral 65.8,Neutral 76.5
7034,THONG GUAN INDUSTRIES BERHAD,"TGUAN (7034) [s]
THONG GUAN INDUSTRIES BERHAD Summary",Industrial Products & Services - Main Market,2.070 - 3.080,9.11,8,33.16,0,0.00%,0.69,629.82,0,344.7M,Neutral 52.5,Neutral 63.6
32,REDTONE INTERNATIONAL BERHAD,"REDTONE (0032)
REDTONE INTERNATIONAL BERHAD Summary",Telecommunications & Media - Ace Market,0.150 - 0.340,9.07,19,1.81,0,0.00%,1.7,18.09,2,257.8M,Neutral 69.4,Overbought 100.0
1,SUPERCOMNET TECHNOLOGIES BERHAD,"SCOMNET (0001) [s]
SUPERCOMNET TECHNOLOGIES BERHAD Summary",Industrial Products & Services - Ace Market,0.325 - 0.920,9,47,1.89,0,0.00%,4.21,13.73,6,569.1M,Neutral 67.6,Overbought 95.5
5208,EITA RESOURCES BERHAD,"EITA (5208) [s]
EITA RESOURCES BERHAD Summary",Industrial Products & Services - Main Market,1.130 - 1.480,8.94,12,11.27,7,5.38%,1.03,188.38,1,169.0M,Neutral 41.7,Neutral 33.3
12,THREE-A RESOURCES BERHAD,"3A (0012) [s]
THREE-A RESOURCES BERHAD Summary",Consumer Products & Services - Main Market,0.700 - 1.120,8.86,16,5.92,2,2.17%,1.38,89.02,1,452.6M,Neutral 49.9,Oversold 0.0
1724,PARAMOUNT CORPORATION BERHAD,"PARAMON (1724) [s]
PARAMOUNT CORPORATION BERHAD Summary",Property - Main Market,1.770 - 2.260,8.83,9,22.16,2.5,1.21%,0.82,211.99,1,882.2M,Neutral 46.2,Neutral 55.6
