code,full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
7617,MAGNA PRIMA BERHAD,"MAGNA (7617) [s]
MAGNA PRIMA BERHAD Summary",Property - Main Market,0.815 - 1.150,-10.14,-6,-16.02,0,0.00%,0.56,11.39,8,298.1M,Neutral 49.0,Neutral 65.2
66,VSOLAR GROUP BERHAD,"VSOLAR (0066) [s]
VSOLAR GROUP BERHAD Summary",Technology - Ace Market,0.085 - 0.255,-10.51,-34,-0.45,0,0.00%,3.5,0.66,23,57.9M,Neutral 34.1,Oversold 14.3
8044,COMPUTER FORMS (MALAYSIA) BERHAD,"CFM (8044) [s]
COMPUTER FORMS (MALAYSIA) BERHAD Summary",Industrial Products & Services - Main Market,0.900 - 1.360,-10.76,-10,-12.27,0,0.00%,1.09,91.34,1,50.8M,Neutral 51.8,Neutral 52.2
5161,JCY INTERNATIONAL BERHAD,"JCY (5161) [s]
JCY INTERNATIONAL BERHAD Summary",Technology - Main Market,0.155 - 0.345,-11.1,-4,-5.1,0,0.00%,0.41,62.98,0,394.6M,Neutral 37.0,Oversold 0.0
6378,WMG HOLDINGS BERHAD,"WMG (6378) [s]
WMG HOLDINGS BERHAD Summary",Property - Main Market,0.105 - 0.245,-8.13,-2,-5.31,0,0.00%,0.18,5.91,2,49.0M,Neutral 42.0,Oversold 0.0
161,SCH GROUP BERHAD,"SCH (0161) [s]
SCH GROUP BERHAD Summary",Industrial Products & Services - Ace Market,0.090 - 0.195,-11.83,-7,-1.79,0,0.00%,0.79,10.09,1,66.7M,Neutral 43.0,Neutral 50.0
7943,SAND NISKO CAPITAL BERHAD,"SNC (7943) [s]
SAND NISKO CAPITAL BERHAD Summary",Consumer Products & Services - Main Market,0.225 - 0.310,-12.2,-6,-4.27,0,0.00%,0.67,22.17,1,15.5M,Neutral 43.3,Neutral 25.0
3794,LAFARGE MALAYSIA BERHAD,"LAFMSIA (3794) [s]
LAFARGE MALAYSIA BERHAD Summary",Industrial Products & Services - Main Market,1.800 - 4.540,-12.57,-6,-37.58,0,0.00%,0.77,249.77,1,"1,954.3M",Neutral 45.0,Oversold 18.9
5035,KNUSFORD BERHAD,"KNUSFOR (5035) [s]
KNUSFORD BERHAD Summary",Industrial Products & Services - Main Market,0.350 - 0.795,-13.77,-2,-29.3,0,0.00%,0.21,209.86,0,44.3M,Neutral 45.5,Neutral 38.0
5229,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,"CAP (5229)
CHINA AUTOMOBILE PARTS HOLDINGS LIMITED Summary",Industrial Products & Services - Main Market,0.010 - 0.010,-14.14,0,-4.95,0,0.00%,0.03,14.42,0,13.6M,Overbought 100.0,Neutral 50.0
5047,NPC RESOURCES BERHAD,"NPC (5047) [s]
NPC RESOURCES BERHAD Summary",Plantation - Main Market,1.690 - 2.000,-14.42,-5,-37.06,1,0.56%,0.7,190.34,1,214.8M,Neutral 41.3,Neutral 32.3
5070,PROTASCO BERHAD,"PRTASCO (5070) [s]
PROTASCO BERHAD Summary",Construction - Main Market,0.190 - 0.857,-14.55,-3,-9.8,0,0.00%,0.42,180.13,0,138.7M,Neutral 53.1,Neutral 44.4
9946,REX INDUSTRY BERHAD,"REX (9946) [s]
REX INDUSTRY BERHAD Summary",Consumer Products & Services - Main Market,0.340 - 0.505,-14.68,-6,-6.9,0,0.00%,0.89,53.19,1,103.6M,Neutral 53.7,Overbought 100.0
5268,IKHMAS JAYA GROUP BERHAD,"IKHMAS (5268) [s]
IKHMAS JAYA GROUP BERHAD Summary",Construction - Main Market,0.090 - 0.410,-14.97,-3,-4.94,0,0.00%,0.47,52.67,0,84.5M,Neutral 46.2,Oversold 0.0
7014,YLI HOLDINGS BERHAD,"YLI (7014) [s]
YLI HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.200 - 0.445,-15.53,-1,-20.04,0,0.00%,0.2,114.22,0,26.3M,Neutral 45.2,Oversold 0.0
5265,DOLPHIN INTERNATIONAL BERHAD,"DOLPHIN (5265) [s]
DOLPHIN INTERNATIONAL BERHAD Summary",Industrial Products & Services - Main Market,0.070 - 0.170,-16.16,-8,-1.6,0,0.00%,1.26,5.47,2,30.5M,Neutral 37.7,Oversold 0.0
178,SEDANIA INNOVATOR BERHAD,"SEDANIA (0178) [s]
SEDANIA INNOVATOR BERHAD Summary",Telecommunications & Media - Ace Market,0.090 - 0.310,-16.55,-11,-1.93,0,0.00%,1.84,5.47,4,48.5M,Overbought 71.6,Neutral 50.0
132,TECHNODEX BHD,"TDEX (0132) [s]
TECHNODEX BHD Summary",Technology - Ace Market,0.065 - 0.130,-17,-6,-1.19,0,0.00%,1.07,10.21,1,44.3M,Neutral 46.5,Neutral 25.0
34,MMAG HOLDINGS BERHAD,"MMAG (0034)
MMAG HOLDINGS BERHAD Summary",Technology - Ace Market,0.165 - 0.310,-18.66,-6,-3.36,0,0.00%,1.17,8.86,2,143.3M,Neutral 38.3,Oversold 0.0
2283,ZELAN BERHAD,"ZELAN (2283) [s]
ZELAN BERHAD Summary",Construction - Main Market,0.025 - 0.125,-17.71,-7,-1.24,0,0.00%,1.21,10.07,1,71.8M,Neutral 45.6,Oversold 0.0
5151,HALEX HOLDINGS BERHAD,"HALEX (5151) [s]
HALEX HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,0.670 - 1.050,-17.8,-8,-10.5,0,0.00%,1.39,64.29,1,86.9M,Neutral 44.0,Oversold 0.0
5843,KUMPULAN PERANGSANG SELANGOR BERHAD,"KPS (5843) [s]
KUMPULAN PERANGSANG SELANGOR BERHAD Summary",Utilities - Main Market,1.170 - 2.060,-17.95,-4,-38.26,4.29,3.02%,0.67,108.32,1,763.1M,Neutral 47.3,Neutral 26.7
7130,KUMPULAN POWERNET BERHAD,"KPOWER (7130) [s]
KUMPULAN POWERNET BERHAD Summary",Consumer Products & Services - Main Market,0.300 - 0.600,-18.2,-5,-5.46,0,0.00%,1,6.6,5,22.8M,Neutral 38.5,Oversold 0.0
7018,CME GROUP BERHAD,"CME (7018) [s]
CME GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.035 - 0.050,-19.57,-2,-2.11,0,0.00%,0.37,4.15,1,23.4M,Neutral 52.1,Neutral 50.0
5040,MERIDIAN BERHAD,"MERIDIAN (5040) [s]
MERIDIAN BERHAD Summary",Property - Main Market,0.265 - 0.500,-19.92,-6,-4.78,0,0.00%,1.25,2.63,11,147.8M,Neutral 49.9,Neutral 33.3
5178,DYNACIATE GROUP BERHAD,"DYNACIA (5178)
DYNACIATE GROUP BERHAD Summary",Industrial Products & Services - Main Market,0.085 - 0.380,-45.4,-4,-2.04,0,0.00%,2,10.13,1,33.9M,Neutral 47.6,Neutral 50.0
6254,PDZ HOLDINGS BHD,"PDZ (6254) [s]
PDZ HOLDINGS BHD Summary",Transportation & Logistics - Main Market,0.025 - 0.065,-23.9,-2,-1.77,0,0.00%,0.47,0.73,5,23.9M,Neutral 50.0,Neutral 33.3
5673,IPMUDA BERHAD,"IPMUDA (5673) [s]
IPMUDA BERHAD Summary",Industrial Products & Services - Main Market,0.430 - 0.900,-22.41,-1,-36.98,0,0.00%,0.32,174.89,0,38.4M,Neutral 53.3,Overbought 100.0
4464,PEGASUS HEIGHTS BERHAD,"PHB (4464) [s]
PEGASUS HEIGHTS BERHAD Summary",Property - Main Market,0.015 - 0.040,-23.69,-2,-1.27,0,0.00%,0.37,0.57,4,36.0M,Neutral 45.6,Oversold 0.0
5222,FGV HOLDINGS BERHAD,"FGV (5222) [s]
FGV HOLDINGS BERHAD Summary",Plantation - Main Market,0.630 - 2.000,-24.26,-4,-29.6,0,0.00%,0.98,369.15,0,"4,341.3M",Neutral 49.7,Neutral 21.1
155,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,"MGRC (0155) [s]
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD Summary",Health Care - Ace Market,0.205 - 0.340,-24.42,-6,-4.3,0,0.00%,1.48,26.05,1,26.9M,Neutral 49.8,Neutral 38.5
5000,HUME INDUSTRIES BERHAD,"HUMEIND (5000)
HUME INDUSTRIES BERHAD Summary",Industrial Products & Services - Main Market,0.465 - 1.650,-28.11,-3,-20.24,0,0.00%,0.92,134.35,0,316.2M,Neutral 39.2,Oversold 0.0
7045,SCOMI ENERGY SERVICES BHD,"SCOMIES (7045) [s]
SCOMI ENERGY SERVICES BHD Summary",Energy - Main Market,0.030 - 0.140,-29.33,-2,-6.16,0,0.00%,0.48,25.33,0,234.2M,Neutral 53.3,Neutral 33.3
68,ASDION BERHAD,"ASDION (0068) [s]
ASDION BERHAD Summary",Technology - Ace Market,0.155 - 0.535,-30.71,-11,-2.15,0,0.00%,3.43,9.78,2,27.9M,Neutral 35.3,Oversold 9.1
82,GREEN PACKET BERHAD,"GPACKET (0082)
GREEN PACKET BERHAD Summary",Telecommunications & Media - Main Market,0.280 - 0.450,-30.19,-4,-7.31,0,0.00%,1.28,43.92,1,281.8M,Neutral 42.6,Oversold 20.0
29,DIGISTAR CORPORATION BERHAD,"DIGISTA (0029)
DIGISTAR CORPORATION BERHAD Summary",Technology - Main Market,0.040 - 0.115,-32.09,-2,-3.09,0,0.00%,0.52,8.38,1,32.9M,Neutral 52.9,Neutral 50.0
