,code,date,news,extract_code,extracted_date
17506,https://www.klsescreener.com/v2/news/stock/0010,"Orientaldaily25 Mar, 2019 21:56pm - 2 weeks ago",大馬卡新供應合約　德達　艾利斯有望突圍,0010,2019-03-25
17505,https://www.klsescreener.com/v2/news/stock/0010,"TheStar26 Mar, 2019 09:15am - 2 weeks ago",Iris seen as strong candidate for possible MyKad contract,0010,2019-03-26
17504,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew26 Mar, 2019 11:20am - 2 weeks ago",大马卡合约将招标·艾力斯具竞争优势,0010,2019-03-26
17503,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 12:49pm - 2 weeks ago",KLCI pares loss after dipping to 3-month low,0010,2019-03-27
17502,https://www.klsescreener.com/v2/news/stock/0010,"TheStar27 Mar, 2019 12:56pm - 2 weeks ago","KLCI extends fall; banks, telcos lead decline",0010,2019-03-27
17501,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew27 Mar, 2019 13:03pm - 2 weeks ago",国行年报将出炉 ·马股半日跌6.46点,0010,2019-03-27
17500,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 13:13pm - 2 weeks ago",跌至3个月低位后 马股收复部分失地,0010,2019-03-27
17499,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 14:00pm - 2 weeks ago","IRIS Corp in pursuit of acquisitions, partners",0010,2019-03-27
8355,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge24 Apr, 2019 10:19am - 8 hours ago","KLCI tracks regional markets, rises 0.69%",0010,2019-04-24
8356,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge22 Apr, 2019 13:37pm - 2 days ago",马股升幅略收窄至0.34%,0010,2019-04-22
8359,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge22 Apr, 2019 10:21am - 2 days ago","KLCI up 0.42%, DWL and Gadang in focus",0010,2019-04-22
8360,https://www.klsescreener.com/v2/news/stock/0010,"TheStar16 Apr, 2019 18:22pm - 1 week ago",Will upbeat economic data make China tap the brakes on monetary easing?,0010,2019-04-16
8361,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge16 Apr, 2019 14:00pm - 1 week ago","Insider Moves: Kian Joo Can Factory Bhd, Iris Corp Bhd, JMR Conglomeration Bhd, Muda Holdings Bhd, Straits Inter Logistics Bhd, Alam Maritim Resources Bhd",0010,2019-04-16
8362,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge09 Apr, 2019 11:07am - 2 weeks ago",IHH大马机场拖累马股挫0.16%,0010,2019-04-09
8363,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge09 Apr, 2019 10:29am - 2 weeks ago","KLCI down 0.16% as IHH, MAHB drag",0010,2019-04-09
8364,https://www.klsescreener.com/v2/news/stock/0010,"TheStar30 Mar, 2019 07:35am - 3 weeks ago",GHL’s petrol subsidy win a market surprise,0010,2019-03-30
8365,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 19:18pm - 3 weeks ago",缺乏催化剂 马股处于年内低位,0010,2019-03-27
8358,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge22 Apr, 2019 11:10am - 2 days ago",DWL嘉登成焦点 提振马股涨0.42%,0010,2019-04-22
8366,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge27 Mar, 2019 18:52pm - 3 weeks ago",FBM KLCI at year’s low in the absence of positive catalysts,0010,2019-03-27
8357,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge22 Apr, 2019 13:13pm - 2 days ago","KLCI pares gains, stays up 0.34%",0010,2019-04-22
17481,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge25 Feb, 2019 10:21am - 3 weeks ago",RF contribution expected to remain soft for Inari Amertron,0010,2019-02-25
17480,https://www.klsescreener.com/v2/news/stock/0010,"TheStar26 Feb, 2019 00:00am - 2 weeks ago",Debt is roaring back in China,0010,2019-02-26
17479,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge26 Feb, 2019 14:00pm - 2 weeks ago","Insider Moves: Utusan Melayu (Malaysia) Bhd, TFP Solutions Bhd, Asia Media Group Bhd, XingHe Holdings Bhd, Cahya Mata Sarawak Bhd, Kronologi Asia Bhd",0010,2019-02-26
17478,https://www.klsescreener.com/v2/news/stock/0010,"Sinchew28 Feb, 2019 09:50am - 2 weeks ago",IHH医保与兴业表现优良·马股稍涨,0010,2019-02-28
17477,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 10:12am - 2 weeks ago",KLCI drifts lower in line with regional markets,0010,2019-02-28
17476,https://www.klsescreener.com/v2/news/stock/0010,"TheEdge28 Feb, 2019 10:38am - 2 weeks ago",马股跟随区域股市走低,0010,2019-02-28
